observation_date,DCOILBRENTEU,DHHNGSP
05/08/13,103.79,3.86
05/09/13,103.59,3.87
05/10/13,101.31,3.9
05/13/13,102.17,3.87
05/14/13,102.7,3.93
05/15/13,101.57,4.03
05/16/13,104.27,4.01
05/17/13,103.83,3.89
05/20/13,104.55,4.1
05/21/13,103.1,4.13
05/22/13,102.14,4.16
05/23/13,100.46,4.15
05/24/13,101.24,4.15
05/28/13,103.77,4.19
05/29/13,102.14,4.15
05/30/13,101.79,4.12
05/31/13,100.43,4.02
06/03/13,101.63,4
06/04/13,102.04,4
06/05/13,103.51,3.99
06/06/13,103.37,3.93
06/07/13,104.07,3.79
06/10/13,103.87,3.85
06/11/13,101.5,3.77
06/12/13,103.11,3.74
06/13/13,103.38,3.73
06/14/13,105.1,3.76
06/17/13,105.8,3.78
06/18/13,105.21,3.9
06/19/13,105.56,3.93
06/20/13,102.72,3.9
06/21/13,100.36,3.85
06/24/13,99.8,3.81
06/25/13,101.51,3.77
06/26/13,100.62,3.72
06/27/13,102.74,3.73
06/28/13,102.49,3.57
07/01/13,103.19,3.52
07/02/13,103.96,3.58
07/03/13,106.12,3.54
07/05/13,107.46,3.52
07/08/13,107.75,3.65
07/09/13,107.9,3.69
07/10/13,108.43,3.69
07/11/13,108.18,3.64
07/12/13,109.03,3.61
07/15/13,109.05,3.67
07/16/13,109.29,3.69
07/17/13,109.67,3.67
07/18/13,109.71,3.66
07/19/13,109.34,3.78
07/22/13,108.82,3.71
07/23/13,109.27,3.68
07/24/13,108.23,3.7
07/25/13,108.1,3.68
07/26/13,107.57,3.59
07/29/13,108.1,3.49
07/30/13,107.47,3.48
07/31/13,107.89,3.46
08/01/13,109.94,3.44
08/02/13,109.63,3.39
08/05/13,109.81,3.33
08/06/13,108.77,3.35
08/07/13,108.39,3.32
08/08/13,107.32,3.27
08/09/13,108.49,3.32
08/12/13,109.28,3.34
08/13/13,110.69,3.34
08/14/13,110.26,3.36
08/15/13,111.58,3.34
08/16/13,111.82,3.35
08/19/13,111.41,3.46
08/20/13,110.74,3.48
08/21/13,110.82,3.51
08/22/13,110.51,3.52
08/23/13,112.12,3.5
08/26/13,112.23,3.55
08/27/13,115.21,3.5
08/28/13,116.27,3.54
08/29/13,116.91,3.58
08/30/13,115.97,3.57
09/03/13,115.49,3.64
09/04/13,115.65,3.68
09/05/13,115.81,3.7
09/06/13,117.15,3.55
09/09/13,115.2,3.62
09/10/13,112.1,3.65
09/11/13,112.37,3.6
09/12/13,113.11,3.57
09/13/13,113.31,3.6
09/16/13,110.86,3.64
09/17/13,109.05,3.77
09/18/13,109.09,3.72
09/19/13,110.66,3.73
09/20/13,110.22,3.68
09/23/13,108.56,3.66
09/24/13,107.68,3.59
09/25/13,109.46,3.52
09/26/13,108.86,3.49
09/27/13,109.45,3.51
09/30/13,107.85,3.48
10/01/13,107.32,3.56
10/02/13,109.09,3.63
10/03/13,109.49,3.58
10/04/13,109.42,3.57
10/07/13,109.66,3.62
10/08/13,110.56,3.72
10/09/13,109.02,3.7
10/10/13,111.63,3.74
10/11/13,110.65,3.74
10/14/13,110.13,3.82
10/15/13,110.67,3.83
10/16/13,110.79,3.84
10/17/13,109.55,3.75
10/18/13,109.4,3.72
10/21/13,109.47,3.77
10/22/13,109.57,3.7
10/23/13,107.74,3.66
10/24/13,106.63,3.65
10/25/13,105.7,3.69
10/28/13,108.29,3.61
10/29/13,108.04,3.57
10/30/13,108.41,3.55
10/31/13,107.53,3.57
11/01/13,105.78,3.45
11/04/13,104.85,3.38
11/05/13,105.01,3.37
11/06/13,105.46,3.46
11/07/13,103.08,3.59
11/08/13,104.29,3.54
11/11/13,105.76,3.62
11/12/13,106.29,3.69
11/13/13,106.9,3.69
11/14/13,108.29,3.52
11/15/13,108.25,3.56
11/18/13,108.8,3.71
11/19/13,108.29,3.63
11/20/13,108.27,3.63
11/21/13,109.9,3.68
11/22/13,111.36,3.78
11/25/13,110.83,3.85
11/26/13,112.04,3.87
11/27/13,111.32,3.87
11/29/13,111.07,3.87
12/02/13,111.49,3.85
12/03/13,113.06,3.84
12/04/13,113.27,3.89
12/05/13,112.07,3.97
12/06/13,111.5,4.15
12/09/13,110.07,4.24
12/10/13,108.91,4.24
12/11/13,109.47,4.24
12/12/13,108.99,4.4
12/13/13,108.08,4.44
12/16/13,110.3,4.21
12/17/13,108.91,4.2
12/18/13,109.56,4.25
12/19/13,110.78,4.25
12/20/13,112.15,4.35
12/23/13,111.58,4.52
12/24/13,111.57,4.52
12/26/13,111.65,4.4
12/27/13,112.06,4.34
12/30/13,110.47,4.41
12/31/13,109.95,4.31
01/02/14,107.94,4.32
01/03/14,106.57,4.39
01/06/14,106.71,4.5
01/07/14,107.01,4.58
01/08/14,107.42,4.36
01/09/14,107.49,4.15
01/10/14,106.44,3.95
01/13/14,108.02,4.19
01/14/14,107.12,4.36
01/15/14,108.09,4.45
01/16/14,107.46,4.55
01/17/14,108.45,4.39
01/20/14,108.01,4.61
01/21/14,109.17,4.92
01/22/14,109.69,5.64
01/23/14,109.69,5.17
01/24/14,109.14,5.66
01/27/14,108.72,5.25
01/28/14,109.1,5.23
01/29/14,108.83,5.27
01/30/14,109.36,5.04
01/31/14,108.16,5.04
02/03/14,106.55,5.78
02/04/14,107.04,8.12
02/05/14,106.81,6.9
02/06/14,108.15,5.92
02/07/14,110.12,8.15
02/10/14,110.18,7.75
02/11/14,109.21,5.96
02/12/14,108.62,5.34
02/13/14,108.98,5.54
02/14/14,108.63,5.8
02/18/14,110.14,6
02/19/14,110.37,5.96
02/20/14,109.42,6.24
02/21/14,109.03,6.08
02/24/14,109.76,5.21
02/25/14,109.19,4.81
02/26/14,109.39,4.61
02/27/14,108.54,4.8
02/28/14,108.98,7.09
03/03/14,111.26,7.98
03/04/14,109.17,6.46
03/05/14,108.15,4.89
03/06/14,107.99,4.78
03/07/14,109.14,4.67
03/10/14,108.27,4.67
03/11/14,108.35,4.72
03/12/14,107.88,4.41
03/13/14,107.48,4.4
03/14/14,108.08,4.57
03/17/14,106.99,4.42
03/18/14,106.79,4.43
03/19/14,105.95,4.39
03/20/14,105.73,4.33
03/21/14,107.2,4.42
03/24/14,106.59,4.53
03/25/14,107.01,4.44
03/26/14,105.9,4.39
03/27/14,106.58,4.5
03/28/14,106.64,4.48
03/31/14,105.95,4.39
04/01/14,105.7,4.39
04/02/14,103.37,4.51
04/03/14,104.88,4.49
04/04/14,106.41,4.58
04/07/14,104.89,4.57
04/08/14,105.83,4.67
04/09/14,107.39,4.67
04/10/14,107.1,4.67
04/11/14,107.34,4.64
04/14/14,107.68,4.69
04/15/14,109.1,4.64
04/16/14,109.71,4.64
04/17/14,109.79,4.76
04/21/14,109.69,4.76
04/22/14,108.54,4.81
04/23/14,108.48,4.81
04/24/14,109.79,4.83
04/25/14,109.53,4.72
04/28/14,109.12,4.78
04/29/14,109.89,4.79
04/30/14,108.63,4.79
05/01/14,108.63,4.73
05/02/14,109.48,4.73
05/05/14,109.48,4.8
05/06/14,108.3,4.82
05/07/14,108.17,4.77
05/08/14,108.19,4.59
05/09/14,108.26,4.52
05/12/14,108.37,4.47
05/13/14,108.78,4.47
05/14/14,109.87,4.42
05/15/14,109.74,4.42
05/16/14,110.9,4.54
